sample_no,sample_name,organism,collection_date,development_stage,pvc_leachate_level,hours_post_fertilization,pvc_leachate_concentration_mg.L,plate,well,sample_type,sample_buffer,total_amount_ng,volume_uL,conc-ng.uL,purification_method,biosafety_level,MethodUsedForFluorescence
1,101112C14,Montipora capitata,08-Jul-2024,early gastrula,control,14,0,1,E10,Total RNA,DNAse/RNAse-free water,210,50,4.2,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
2,101112C4,Montipora capitata,08-Jul-2024,cleavage,control,4,0,1,C08,Total RNA,DNAse/RNAse-free water,770,50,15.4,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
3,101112C9,Montipora capitata,08-Jul-2024,prawn chip,control,9,0,1,B04,Total RNA,DNAse/RNAse-free water,275.5,50,5.51,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
4,101112H14,Montipora capitata,08-Jul-2024,early gastrula,high,14,1,1,E12,Total RNA,DNAse/RNAse-free water,355.5,50,7.11,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
5,101112H4,Montipora capitata,08-Jul-2024,cleavage,high,4,1,1,C04,Total RNA,DNAse/RNAse-free water,402.5,50,8.05,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
6,101112H9,Montipora capitata,08-Jul-2024,prawn chip,high,9,1,1,B07,Total RNA,DNAse/RNAse-free water,423,50,8.46,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
7,101112L14,Montipora capitata,08-Jul-2024,early gastrula,low,14,0.01,1,F02,Total RNA,DNAse/RNAse-free water,357.5,50,7.15,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
8,101112L4,Montipora capitata,08-Jul-2024,cleavage,low,4,0.01,1,F03,Total RNA,DNAse/RNAse-free water,625,50,12.5,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
9,101112L9,Montipora capitata,08-Jul-2024,prawn chip,low,9,0.01,1,F01,Total RNA,DNAse/RNAse-free water,570,50,11.4,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
10,101112M14,Montipora capitata,08-Jul-2024,early gastrula,mid,14,0.1,1,A05,Total RNA,DNAse/RNAse-free water,692.5,50,13.85,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
11,101112M4,Montipora capitata,08-Jul-2024,cleavage,mid,4,0.1,1,D02,Total RNA,DNAse/RNAse-free water,627.5,50,12.55,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
12,101112M9,Montipora capitata,08-Jul-2024,prawn chip,mid,9,0.1,1,C05,Total RNA,DNAse/RNAse-free water,380.5,50,7.61,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
13,123C14,Montipora capitata,06-Jul-2024,early gastrula,control,14,0,1,E01,Total RNA,DNAse/RNAse-free water,332,50,6.64,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
14,123C4,Montipora capitata,06-Jul-2024,cleavage,control,4,0,1,A12,Total RNA,DNAse/RNAse-free water,1428,30,47.6,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
15,123C9,Montipora capitata,06-Jul-2024,prawn chip,control,9,0,1,D11,Total RNA,DNAse/RNAse-free water,621,30,20.7,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
16,123H14,Montipora capitata,06-Jul-2024,early gastrula,high,14,1,1,C07,Total RNA,DNAse/RNAse-free water,828,30,27.6,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
17,123H4,Montipora capitata,06-Jul-2024,cleavage,high,4,1,1,E02,Total RNA,DNAse/RNAse-free water,1025,50,20.5,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
18,123H9,Montipora capitata,06-Jul-2024,prawn chip,high,9,1,1,B09,Total RNA,DNAse/RNAse-free water,333.5,50,6.67,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
19,123L14,Montipora capitata,06-Jul-2024,early gastrula,low,14,0.01,1,C01,Total RNA,DNAse/RNAse-free water,589.5,30,19.65,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
20,123L4,Montipora capitata,06-Jul-2024,cleavage,low,4,0.01,1,B12,Total RNA,DNAse/RNAse-free water,545,50,10.9,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
21,123L9,Montipora capitata,06-Jul-2024,prawn chip,low,9,0.01,1,D06,Total RNA,DNAse/RNAse-free water,357,30,11.9,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
22,123M4,Montipora capitata,06-Jul-2024,cleavage,mid,4,0.1,1,A10,Total RNA,DNAse/RNAse-free water,3690,30,123,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
23,123M9,Montipora capitata,06-Jul-2024,prawn chip,mid,9,0.1,1,C09,Total RNA,DNAse/RNAse-free water,765,30,25.5,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
24,131415C14,Montipora capitata,08-Jul-2024,early gastrula,control,14,0,1,E03,Total RNA,DNAse/RNAse-free water,570,50,11.4,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
25,131415C4,Montipora capitata,08-Jul-2024,cleavage,control,4,0,1,B06,Total RNA,DNAse/RNAse-free water,555,50,11.1,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
26,131415C9,Montipora capitata,08-Jul-2024,prawn chip,control,9,0,1,E08,Total RNA,DNAse/RNAse-free water,537.5,50,10.75,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
27,131415H14,Montipora capitata,08-Jul-2024,early gastrula,high,14,1,1,A09,Total RNA,DNAse/RNAse-free water,308.5,50,6.17,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
28,131415H4,Montipora capitata,08-Jul-2024,cleavage,high,4,1,1,A04,Total RNA,DNAse/RNAse-free water,867.5,50,17.35,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
29,131415H9,Montipora capitata,08-Jul-2024,prawn chip,high,9,1,1,E04,Total RNA,DNAse/RNAse-free water,527.5,50,10.55,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
30,131415L14,Montipora capitata,08-Jul-2024,early gastrula,low,14,0.01,1,A06,Total RNA,DNAse/RNAse-free water,535,50,10.7,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
31,131415L4,Montipora capitata,08-Jul-2024,cleavage,low,4,0.01,1,D07,Total RNA,DNAse/RNAse-free water,702.5,50,14.05,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
32,131415L9,Montipora capitata,08-Jul-2024,prawn chip,low,9,0.01,1,A07,Total RNA,DNAse/RNAse-free water,485,50,9.7,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
33,131415M14,Montipora capitata,08-Jul-2024,early gastrula,mid,14,0.1,1,B03,Total RNA,DNAse/RNAse-free water,367.5,50,7.35,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
34,131415M4,Montipora capitata,08-Jul-2024,cleavage,mid,4,0.1,1,E11,Total RNA,DNAse/RNAse-free water,685,50,13.7,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
35,131415M9,Montipora capitata,08-Jul-2024,prawn chip,mid,9,0.1,1,D12,Total RNA,DNAse/RNAse-free water,240,50,4.8,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
36,13M14,Montipora capitata,08-Jul-2024,early gastrula,mid,14,0.1,1,B01,Total RNA,DNAse/RNAse-free water,319.5,50,6.39,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
37,456C4,Montipora capitata,07-Jul-2024,cleavage,control,4,0,1,A03,Total RNA,DNAse/RNAse-free water,557.5,50,11.15,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
38,456H4,Montipora capitata,07-Jul-2024,cleavage,high,4,1,1,B11,Total RNA,DNAse/RNAse-free water,0,30,0,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
39,456H9,Montipora capitata,07-Jul-2024,prawn chip,high,9,1,1,B08,Total RNA,DNAse/RNAse-free water,527.5,50,10.55,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
40,456L14,Montipora capitata,07-Jul-2024,early gastrula,low,14,0.01,1,D05,Total RNA,DNAse/RNAse-free water,260.5,50,5.21,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
41,456L4,Montipora capitata,07-Jul-2024,cleavage,low,4,0.01,1,C02,Total RNA,DNAse/RNAse-free water,0,30,0,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
42,456L9,Montipora capitata,07-Jul-2024,prawn chip,low,9,0.01,1,C03,Total RNA,DNAse/RNAse-free water,248.4,30,8.28,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
43,456M14,Montipora capitata,07-Jul-2024,early gastrula,mid,14,0.1,1,A08,Total RNA,DNAse/RNAse-free water,250,50,5,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
44,456M4,Montipora capitata,07-Jul-2024,cleavage,mid,4,0.1,1,B05,Total RNA,DNAse/RNAse-free water,478,50,9.56,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
45,456M9,Montipora capitata,07-Jul-2024,prawn chip,mid,9,0.1,1,D04,Total RNA,DNAse/RNAse-free water,0,30,0,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
46,45C14,Montipora capitata,07-Jul-2024,early gastrula,control,14,0,1,D10,Total RNA,DNAse/RNAse-free water,263.7,30,8.79,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
47,45C9,Montipora capitata,07-Jul-2024,prawn chip,control,9,0,1,D08,Total RNA,DNAse/RNAse-free water,0,30,0,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
48,45H14,Montipora capitata,07-Jul-2024,early gastrula,high,14,1,1,A02,Total RNA,DNAse/RNAse-free water,406,50,8.12,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
49,67C9,Montipora capitata,07-Jul-2024,prawn chip,control,9,0,1,C11,Total RNA,DNAse/RNAse-free water,0,30,0,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
50,6C14,Montipora capitata,07-Jul-2024,early gastrula,control,14,0,1,D01,Total RNA,DNAse/RNAse-free water,0,30,0,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
51,789C4,Montipora capitata,07-Jul-2024,cleavage,control,4,0,1,C06,Total RNA,DNAse/RNAse-free water,378,50,7.56,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
52,789H14,Montipora capitata,07-Jul-2024,early gastrula,high,14,1,1,A11,Total RNA,DNAse/RNAse-free water,0,50,0,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
53,789H4,Montipora capitata,07-Jul-2024,cleavage,high,4,1,1,E07,Total RNA,DNAse/RNAse-free water,550,50,11,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
54,789H9,Montipora capitata,07-Jul-2024,prawn chip,high,9,1,1,D09,Total RNA,DNAse/RNAse-free water,386.5,50,7.73,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
55,789L14,Montipora capitata,07-Jul-2024,early gastrula,low,14,0.01,1,D03,Total RNA,DNAse/RNAse-free water,225,50,4.5,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
56,789L4,Montipora capitata,07-Jul-2024,cleavage,low,4,0.01,1,C10,Total RNA,DNAse/RNAse-free water,409,50,8.18,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
57,789L9,Montipora capitata,07-Jul-2024,prawn chip,low,9,0.01,1,B10,Total RNA,DNAse/RNAse-free water,314.5,50,6.29,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
58,789M14,Montipora capitata,07-Jul-2024,early gastrula,mid,14,0.1,1,C12,Total RNA,DNAse/RNAse-free water,525,50,10.5,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
59,789M4,Montipora capitata,07-Jul-2024,cleavage,mid,4,0.1,1,B02,Total RNA,DNAse/RNAse-free water,499.5,50,9.99,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
60,7C14,Montipora capitata,07-Jul-2024,early gastrula,control,14,0,1,E06,Total RNA,DNAse/RNAse-free water,0,30,0,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
61,89C14,Montipora capitata,07-Jul-2024,early gastrula,control,14,0,1,E05,Total RNA,DNAse/RNAse-free water,252,50,5.04,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
62,89C9,Montipora capitata,07-Jul-2024,prawn chip,control,9,0,1,A01,Total RNA,DNAse/RNAse-free water,452.5,50,9.05,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay
63,89M9,Montipora capitata,07-Jul-2024,prawn chip,mid,9,0.1,1,E09,Total RNA,DNAse/RNAse-free water,455.5,50,9.11,Zymo Quick DNA/RNA Miniprep Plus with DNase Treatment,None,Qubit High Sensitivity Assay