,101112C14,101112C4,101112C9,101112H14,101112H4,101112H9,101112L14,101112L4,101112L9,101112M14,101112M4,101112M9,123C14,123C4,123C9,123H14,123H4,123H9,123L14,123L4,123L9,123M4,123M9,131415C14,131415C4,131415C9,131415H14,131415H4,131415H9,131415L14,131415L9,131415M14,131415M4,131415M9,13M14,456C4,456H4,456H9,456L14,456L4,456L9,456M14,456M4,456M9,45C14,45C9,45H14,67C9,6C14,789H14,789H4,789H9,789L14,789L4,789L9,789M14,789M4,7C14,89C14,89C9,89M9
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Kordia;__,3.28692153840438,0.207227670546105,3.10333430039184,3.72566012088816,0.441853671502729,2.82484185539059,3.44128710464963,2.69702484320718,3.10963335156194,3.56650334850279,1.28835054663951,1.33957261085296,1.62977515041728,-3.52015219614617,-3.64912980911806,1.97939579387404,-3.23957452455375,-3.91173827632282,1.38470569914716,-3.92376369449134,-4.28615285128362,-3.14574728382562,1.21541364666598,4.26061563264175,2.51390059091933,2.80257383010687,3.21746267537574,2.33308953541891,2.75830449916477,3.8649185842149,3.34506599397659,3.63292809452006,1.45547586074998,2.97723664746451,0.608032447146744,-0.839593998763412,-3.69319578541735,0.510700998326721,0.0651197358961255,-3.7399416288205,0.73451787967579,1.88156316675989,-3.45428341321124,0.867081521168027,1.51434295989122,-4.09845719719465,0.964535737954298,1.80736406298955,3.21417235244531,1.50265261052227,-3.56372841937131,1.18004829307502,1.73233949587785,-3.50931007641433,1.65818165245126,2.59426445041479,-3.68296249462098,1.7178378595142,2.11277705521382,1.27291758948947,1.24914219507846
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__;__,4.80639806916637,1.96208258283871,4.45943226228071,4.94238548911149,-0.05598475673645,4.37474400253006,5.18806271584738,-0.0290438633977121,3.95937440886445,4.87941516368866,0.115630285817678,2.47455254369194,4.35604909047595,-3.52015219614617,0.365110939596187,2.18573222687187,-3.23957452455375,-3.91173827632282,-0.584734947318344,0.0333287378813658,-4.28615285128362,-3.14574728382562,0.0367586503243338,3.33672918794101,-4.01266596262381,4.45727705286696,3.79336546828586,1.41140795490987,3.39679326718685,5.23661414591364,4.22549081266224,6.12837224961085,2.14862304130993,3.11372808171751,0.985326678288214,-3.75522824738876,1.77447771402256,1.43564979294399,4.63271784897646,1.40927417159584,0.359824430234379,2.06534564419352,-3.45428341321124,-0.465724155000878,1.29428107511442,-4.09845719719465,1.22690000242179,2.98736767720249,3.69505409983823,4.63183403647704,-3.56372841937131,3.82285797230883,4.19359465758389,0.750033536577609,1.85600739578118,3.93896491423584,0.274105517290009,5.43111952400941,4.07490608305464,2.80118221187975,-3.84501636023229
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Terasakiellaceae;g__Terasakiella;s__uncultured_bacterium,2.56544385121821,1.79023232591205,0.372360459387695,-0.0391114271729993,0.758523280827761,-0.362428630062281,-0.0972538385234021,2.47833564224235,0.929387110760139,0.551722879978106,1.65056567095386,0.0739062375216832,3.69620132398505,-3.52015219614617,2.71648619675966,3.43607095175573,2.16094661713746,2.58743213539888,3.50960961490376,3.71630846986811,2.68127693793694,3.34873252237436,2.62075620275656,0.277435432897271,1.41528830225122,-0.431190607255084,-3.75862041363521,-3.32336397270043,-3.31430874418441,0.206176224521206,0.206858072175841,-3.64792700573097,0.327010608932193,-4.37319836338734,2.37873850717697,1.58815423718464,1.98454918376942,0.930554843886986,2.53955508581683,2.87286020701738,1.43802784727128,2.81524564134592,1.40723629476813,1.96202408094717,2.94589391259923,2.82754761121593,3.34716353862188,1.42787444128465,0.936279872041634,2.92449190906157,2.07100128278002,1.87319547363496,2.18543265297527,1.54636495337279,2.01015807560844,1.90849737715246,0.00584153069532967,2.0992054160433,2.18817507269804,2.42648876243834,1.32190154936089
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;__,-3.71748172716311,-4.05215112442138,-3.88702215112175,-3.72793105510877,-4.61387392188084,-3.68352021736714,-3.70602256800139,-3.55080675380348,-3.69099047699371,-4.23572950800272,-0.657559602415803,-4.54649089601883,-2.86135516611163,-3.52015219614617,-3.64912980911806,-3.0156423183208,2.10378820329751,-3.91173827632282,-3.50036661304411,-3.92376369449134,-4.28615285128362,-3.14574728382562,-4.0828453056779,-3.61902041183951,-4.01266596262381,-3.63450939552069,-3.75862041363521,-3.32336397270043,-3.31430874418441,-3.69030124321348,-3.68961376129735,-3.64792700573097,-3.88792315456973,-4.37319836338734,-3.69389766382171,-3.75522824738876,8.58675136993339,-3.74866345549966,-3.83134704662315,8.35213801161993,6.52250107215419,-3.97851379971623,-3.45428341321124,6.58095938560784,5.88675562688859,6.80505280115261,-3.56053939329493,7.97226578817726,6.74141484095812,-3.95196834522324,-3.56372841937131,-3.58139838441542,-3.79826069724479,-3.50931007641433,-3.62455108917846,-3.43486151162618,0.148942374336002,6.61398824457879,-4.12309522679962,-3.92847464899143,-3.84501636023229
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Psychrosphaera;s__uncultured_bacterium,-0.108704798208322,-4.05215112442138,-1.66452146787335,-1.21776642351464,-2.39135967255349,-0.362428630062281,0.308211269584762,-3.55080675380348,-1.18082608958645,-0.339250043911759,-1.60202121125666,0.654936119960922,0.827428677892346,1.74683644220128,1.99652775874906,2.29784952499257,0.523337827736666,2.80686510731655,2.56514800606291,0.244637831548571,1.60841714537125,2.85329181744784,2.77436765366809,0.277435432897271,-4.01266596262381,-3.63450939552069,-0.437515227062519,-3.32336397270043,-3.31430874418441,-0.774653028490521,-1.872583469504,-0.326826313729274,-3.88792315456973,-1.16985848014312,3.02468999640064,0.802633736493679,1.14424435887318,2.80015679987897,0.0651197358961255,0.274294238756859,1.61690705987426,1.78975561750677,1.94623279550081,2.08632179762475,1.26302853161032,2.30863296457686,3.18010945395871,-2.235687204845,0.590003635323802,0.16765154378993,-2.43985822373683,-3.58139838441542,0.544496073481799,-3.50931007641433,0.138355898706845,0.94708620999784,-3.68296249462098,0.282753334224877,0.045311704580703,0.562675975570228,0.889768194170561
d__Eukaryota;__;__;__;__;__;__,1.23502994849277,2.84938577783961,1.41125351335418,0.614815040233665,2.77532925151611,0.6592226174697,1.40682355825287,2.91539511576873,1.17054916757703,1.60666010514355,2.63621753062552,1.60127919690148,-2.86135516611163,-0.0937131911962066,-3.64912980911806,-3.0156423183208,4.02631790370876,2.79565003649641,-3.50036661304411,2.33591383087541,0.826716567469854,-3.14574728382562,0.259902201638543,0.212896911759699,1.31591582843801,1.47835189762935,-0.555298262718903,2.50097040805807,-0.244545242158082,1.32540780039205,1.44160253516853,-3.64792700573097,1.90879699003578,0.970207683353154,2.80061664492646,3.8316759889292,2.78253042564494,1.67927187560174,1.9076515304976,2.27427160908245,1.13998298778395,1.89895490947176,4.05307331136876,0.750671169323615,1.32458642460975,1.11977379806097,1.05984591775862,1.63551380606289,1.42740042472829,0.809505429962325,3.29024155923675,-0.37809632497153,0.544496073481799,3.88173986918982,-3.62455108917846,1.37786912609029,3.3731373606818,-1.10354102689501,0.952032985438708,-0.319713204628245,1.30420197226149
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__uncultured;s__uncultured_bacterium,-0.291026355002277,-4.05215112442138,-0.124076426926196,-3.72793105510877,-0.717383238981816,0.384785771767939,-0.790401019083347,1.96751001847636,-1.18082608958645,-0.339250043911759,0.00741670117744597,0.361588309973465,-2.86135516611163,1.85219695785911,-3.64912980911806,-0.505510855913963,1.25157632810788,1.20113777427899,-0.767056504112299,1.09193569193578,3.51355574254043,2.67857486003911,2.84314475214741,-0.297928712006291,1.70634305918164,-0.313407571598701,-0.842980335170685,1.53815966054902,-0.244545242158082,-0.620502348663262,-0.368506072727721,-0.914612978631393,1.02015778949214,0.682525610901374,-0.490579841521365,-3.75522824738876,0.203261014408657,-3.74866345549966,-0.404883893349609,-3.7399416288205,0.775339874196046,-3.97851379971623,1.73000968703118,0.878010591700216,-4.00398559998272,3.40555177273863,-0.644902174479803,2.22445720909283,0.113079563233491,-1.44178636864417,-3.56372841937131,-3.58139838441542,-0.728469602331089,1.62187250588093,0.389670326987751,-0.00842523502959658,-3.68296249462098,0.975900514784822,0.556137328346695,-3.92847464899143,0.369892734884653
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__JGI_0000069-P22;f__JGI_0000069-P22;g__JGI_0000069-P22;__,3.72715684625426,2.04846719703753,0.604162073445018,2.71894919450387,1.56627384412671,0.807642622587974,3.86988846612582,-3.55080675380348,1.9546681263427,1.6839517794452,1.37932232484524,1.38141972078846,-2.86135516611163,3.16052977750929,-3.64912980911806,0.187636324645982,2.87471308490014,0.949823345998078,0.758999799382751,2.10539017226358,-4.28615285128362,-3.14574728382562,-0.474066973441657,2.26702064545525,-4.01266596262381,0.0543172085266175,1.49239458064635,-3.32336397270043,0.448601938401863,3.05398836799857,1.45962104067121,1.95328592341271,-3.88792315456973,-4.37319836338734,0.425710890352791,2.46239673281529,-3.69319578541735,0.707411292572775,1.28151506022062,2.75456050898836,0.833608782320022,2.14257699212951,1.38313874318907,-0.0328600727045991,1.12722699045125,0.976672954420295,1.17425626893637,1.02240933317648,1.24805949607248,3.47819455718395,2.69594021331344,1.37110352983773,3.27626280120133,1.46468692235852,2.05317546069213,3.74811286755815,0.436624446787784,1.38136562289299,2.7722303899873,1.72797963873701,2.87356166112818
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II;__,1.09526800611761,2.26469030550717,0.998066359152107,1.26714022627336,2.69417692971589,0.936854354067981,0.851826716173743,2.54979460622449,-0.0822138009183409,0.649361349542021,1.74537346441252,1.38958303142762,-2.86135516611163,1.83780822040701,-3.64912980911806,-3.0156423183208,3.3266982086432,0.79567266617082,-3.50036661304411,3.29818967599139,2.05266827851456,3.7526460397911,0.596374438259756,0.64034092658664,1.82075341035938,1.66375512096072,0.137848917841042,2.6756873654668,1.30605217025309,1.01710644073753,-3.68961376129735,-3.64792700573097,0.76232868019004,2.06881997202126,-3.69389766382171,2.24384385520968,-0.171432435032754,-3.74866345549966,-3.83134704662315,2.19610683623311,1.77597175450395,-3.97851379971623,1.74710412039048,1.93971832343288,0.377990343240265,0.786629351532431,1.25221781040608,2.06159820137379,0.623905186999483,1.00056066672503,3.02397358128878,0.761337958216835,0.270059227780038,2.03337992844506,1.70399118848255,0.522203016032574,2.9047239782594,1.25731297422301,-1.05330058408741,2.74833973050537,1.87397013166093
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Halobacteriovorax;s__Bacteriovorax_sp.,4.87261610821916,2.8050747315147,4.72515975861797,6.2856610146436,2.3736592143765,4.6489471305617,6.2949424095535,3.98651982097127,5.5787191622305,5.88121586399459,3.40670750456902,4.29741661648745,-2.86135516611163,-3.52015219614617,-3.64912980911806,-1.19865803647391,-3.23957452455375,-3.91173827632282,-3.50036661304411,-3.92376369449134,-4.28615285128362,-3.14574728382562,-4.0828453056779,5.37424842323458,3.78325615450811,4.90754867379187,6.02343198027707,3.96169736396073,4.66389911104163,6.57221702670361,5.34669247140976,6.34562848366802,3.97293511357573,4.7228211070987,-0.267436290207154,-3.75522824738876,-3.69319578541735,-3.74866345549966,0.288263287210336,-3.7399416288205,-4.26056247836925,0.579351922850545,-3.45428341321124,-0.871189263109043,-4.00398559998272,-4.09845719719465,-0.490751494652544,1.99114654042318,2.26613292225657,2.96797702100131,-3.56372841937131,0.315050855588416,1.68232907530319,1.52656232607661,0.795135435095917,0.867043502324304,-3.68296249462098,0.721008265156032,1.46669738551186,0.3734339759317,-3.84501636023229
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leeuwenhoekiella;__,4.40307004018022,4.44573531396712,4.2947641808704,4.4205882458191,3.95369172189399,4.30101046404979,2.44827743308103,1.35725049772218,1.75036766282997,2.20136721289025,1.74537346441252,0.867858117203594,0.45970389776703,-3.52015219614617,1.03008724318944,1.44039929314135,-3.23957452455375,0.207886001268701,1.40769521737186,-3.92376369449134,0.526611975019517,-3.14574728382562,0.567386901386504,5.39205529647142,5.1861835681629,4.12005123670745,4.117530571743,4.81799618520691,4.49290555455288,2.52733770308819,2.40408264951206,3.58074234134949,2.65650315484616,3.11200245575004,0.725815482803128,-3.75522824738876,1.41965633873315,1.97032663253216,1.09919350342666,1.71465582114703,0.418664930257313,1.67796421151865,-3.45428341321124,1.86965076081616,1.85609225361328,-4.09845719719465,1.22690000242179,1.87518665932831,1.95009562404967,2.13476390049585,1.95459093093561,1.39260973505869,2.07055237697685,-3.50931007641433,1.9419498255819,1.95166954901767,0.385331152400234,1.13716866238094,1.63551825508692,2.53771439754856,2.32870628877587
